Title;Authors;Venue;Year;Library;I1;I2;I3;I4;I5;I6;E1;E2;E3;E4;Included
A methodology to develop energy adaptive software using model-driven development;"F. Tanaka; K. Hisazumi; S. Ishida; A. Fukuda";TENCON 2017 - 2017 IEEE Region 10 Conference;2017;IEEE;NO;;;;;;;;;;
A methodology to develop energy adaptive software using model-driven development;Tanaka F., Hisazumi K., Ishida S., Fukuda A.;IEEE Region 10 Annual International Conference, Proceedings/TENCON;2017;SCOPUS;N;;;;;;;;;;
A methodology to develop mobile robots based on a feature model;Cabello M.E., Aquino R., Ramirez G., Edwards A.;ISIEA 2014 - 2014 IEEE Symposium on Industrial Electronics and Applications;2017;SCOPUS;N;;;;;;;;;;
A Methodology to Model and Simulate Customized Realistic Anthropomorphic Robotic Hands;Li  Tian and Nadia  Magnenat-Thalmann and Daniel  Thalmann and Jianmin  Zheng;CGI 2018;2018;ACM;No;;;;;;;;;;
A Minimal Developmental Model Can Increase Evolvability in Soft Robots;Sam  Kriegman and Nick  Cheney and Francesco  Corucci and Josh C. Bongard;GECCO '17;2017;ACM;No;;;;;;;;;;
A model driven 3D lane detection system using stereovision;"Benmansour, N.; Labayrade, R.; Aubert, D.; Glaser, S.; Gruyer, D.";Control, Automation, Robotics and Vision, 2008. ICARCV 2008. 10th International Conference on;2008;IEEE ;O;O;O;;;;;;;;
A model driven agent-oriented self-adaptive software development method;Yiwei Lei Kerong Ben Zhiyong He;2015 12th International Conference on Fuzzy Systems and Knowledge Discovery (FSKD);2015;IEEE;o;o;;;;;;;;;
A Model Driven Approach for Android Applications Development;"Parada, A.G.; de Brisolara, L.B.";Computing System Engineering (SBESC), 2012 Brazilian Symposium on;2012;IEEE ;O;O;O;;;;;;;;
A model driven approach for design and development of a safety critical system;Nisha, G.R.;Electronics Computer Technology (ICECT), 2011 3rd International Conference on;2011;IEEE ;O;O;O;;;;;;;;
A Model Driven Approach for Eased Knowledge Storage and Retrieval in Interactive HRI Systems;"N. Koster; S. Wrede; P. Cimiano";2018 Second IEEE International Conference on Robotic Computing (IRC);2018;IEEE;NO;;;;;;;;;;
A model driven approach for eased knowledge storage and retrieval in interactive HRI systems;Köster N., Wrede S., Cimiano P.;Proceedings - 2nd IEEE International Conference on Robotic Computing, IRC 2018;2018;SCOPUS;N;;;;;;;;;;
A Model Driven Approach for Self-Healing Computing System;"Lu Wei; Zhu Yian; Ma Chunyan; Zhang Longmei";Computational Intelligence and Security (CIS), 2011 Seventh International Conference on;2011;IEEE ;O;O;O;;;;;;;;
A Model Driven Approach for the Development of Fine-Grain Self-Adaptive Multitask and Networked RTE Systems;"Ben Said, M.; Ben Amor, N.; Hadj Kacem, Y.; Kerboeuf, M.; Abid, M.";WETICE Conference (WETICE), 2014 IEEE 23rd International;2014;IEEE ;O;O;O;;;;;;;;
A Model Driven Approach to the Analysis of Quality Scenarios within Self-Adaptable \SOA\ Systems ;Perez, Boris & Correal, Dario;Electronic Notes in Theoretical Computer Science ;2011;ScienceDirect;O;O;O;;;;;;;;
A model driven approach to the design and implementing of fault tolerant service oriented architectures;Alodib M., Bordbar B., Majeed B.;3rd International Conference on Digital Information Management, ICDIM 2008;2008;Scopus;O;;;;;;;;;;
A model driven approach to Web-based traffic simulation;D. Ã‡etinkaya;2016 Symposium on Theory of Modeling and Simulation (TMS-DEVS);2016;IEEE;o;o;;;;;;;;;
A model driven engineering methodology for embedded system designs - HIPAO2;Doering, D.;Industrial Informatics (INDIN), 2014 12th IEEE International Conference on;2014;IEEE ;X;X;X;X;X;X;O;O;O;O;YES
A model driven engineering process of platform neutral agents for ambient intelligence devices;"Ayala I;Amor M;Fuentes L;";Autonomous Agents and Multi-Agent Systems;2014;WOS;O;O;O;;;;;;;;
A Model Driven Intelligent Orchestration Approach to Service Automation in Large Distributed Infrastructures;Xi  Yang and Tom  Lehman and Raj  Kettimuthu and Linda  Winkler and Eun-Sung  Jung;AI-Science'18;2018;ACM;No;;;;;;;;;;
A Model driven software platform for Network Management Applications;Prabhu, S.;Autonomic and Autonomous Systems, 2006. ICAS '06. 2006 International Conference on;2006;IEEE ;O;O;O;;;;;;;;
A Model Predictive-based Approach for Longitudinal Control in Autonomous Driving with Lateral Interruptions;"Liu, Kai; Gong, Jianwei; Kurt, Arda; Chen, Huiyan; Ozguner, Umit";2017 28TH IEEE INTELLIGENT VEHICLES SYMPOSIUM (IV 2017);2017;WOS;N;;;;;;;;;;
A model transformation process to realize controllers of ship autopilot systems by the specialized MDA's features with UML/SysML;"Ngo, V.H.; Soriano, T.";Mechatronics (MECATRONICS) , 2012 9th France-Japan & 7th Europe-Asia Congress on and Research and Education in Mechatronics (REM), 2012 13th Int'l Workshop on;2012;IEEE ;O;O;O;;;;;;;;
A Model-Based Approach for Reconciliation of Polychronous Execution Traces;"Garces, K.; DeAntoni, J.; Mallet, F.";Software Engineering and Advanced Applications (SEAA), 2011 37th EUROMICRO Conference on;2011;IEEE ;X;X;X;X;X;X;O;O;O;O;YES
A model-based approach to software deployment in robotics;"Hochgeschwender, N.; Gherardi, L.; Shakhirmardanov, A.; Kraetzschmar, G.K.; Brugali, D.; Bruyninckx, H.";Intelligent Robots and Systems (IROS), 2013 IEEE/RSJ International Conference on;2013;IEEE ;X;X;X;X;X;X;O;O;O;O;YES
A model-based approach to the segmentation of nasal cavity and paranasal sinus boundaries;Carsten Last, Simon Winkelbach, Friedrich M. Wahl, Klaus W. G. Eichhorn, Friedrich Bootz;Proceedings of the 32nd DAGM conference on Pattern recognition;2010  ;ACM;O;O;O;;;;;;;;
A model-based design space exploration for embedded image processing in industrial applications;"Lerm, R.; Doering, D.; Rech, R.H.A.; Pereira, C.E.; Rettberg, A.";Industrial Informatics (INDIN), 2014 12th IEEE International Conference on;2014;IEEE ;X;X;X;X;X;X;O;O;O;O;YES
A Model-Driven Approach for Building Ubiquitous Applications;"Le Parc, P.; Touil, A.; Vareille, J.";Mobile Ubiquitous Computing, Systems, Services and Technologies, 2009. UBICOMM '09. Third International Conference on;2009;IEEE ;O;O;O;;;;;;;;
A model-driven approach for executing modular interaction protocols using BDI-agents;Leon-Soto E.;Lecture Notes in Business Information Processing;2012;Scopus;;;;;;O;;;;;
A model-driven approach for generating embedded robot navigation control software;Bina Shah, Rachael Dennison, Jeff Gray;Proceedings of the 42nd annual Southeast regional conference;2004;ACM;X;X;X;X;X;X;O;O;O;O;YES
A model-driven approach for real-time road recognition;"Aufrere R;Chapuis R;Chausse F;";Machine Vision and Applications;2001;WOS;O;O;O;;;;;;;;
A model-driven approach for the analysis of multimedia documents;Dos Santos J., Braga C., Muchaluat-Saade D.;CEUR Workshop Proceedings;2012;Scopus;O;;;;;;;;;;
A Model-Driven approach for the development of an IDE for Spacecraft on-board software;L. Pomante S. Candia E. Incerto;2015 IEEE Aerospace Conference;2015;IEEE;o;o;;;;;;;;;
A model-driven approach for the development of safety-critical functions using modified architecture description language (ADL);B. Sari H. C. Reuss;2016 International Conference on Electrical Systems for Aircraft, Railway, Ship Propulsion and Road Vehicles & International Transportation Electrification Conference (ESARS-ITEC);2016;IEEE;o;o;;;;;;;;;
A Model-driven approach to design and verify autonomic network behaviors;"Prakash, A.; Chaparadza, R.; Starschenko, A.";GLOBECOM Workshops (GC Wkshps), 2011 IEEE;2011;IEEE ;O;O;O;;;;;;;;
A model-driven approach to dynamic and adaptive service brokering using modes;Foster H., Mukhija A., Rosenblum D.S., Uchitel S.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2008;Scopus;O;;;;;;;;;;
A Model-Driven Approach to Enable Adaptive QoS in DDS-Based Middleware;J. F. InglÃ©s-Romero A. Romero-GarcÃ©s C. Vicente-Chicote J. MartÃ­nez;IEEE Transactions on Emerging Topics in Computational Intelligence;2017;IEEE;o;o;;;;;;;x;;
A Model-Driven Approach to Enable Adaptive QoS in DDS-Based Middleware;"J. F. Ingl√©s-Romero; A. Romero-Garc√©s; C. Vicente-Chicote; J. Mart√≠nez";IEEE Transactions on Emerging Topics in Computational Intelligence;2017;IEEE;NO;;;;;;;;;;
A model-driven approach to multidisciplinary collaborative simulation for virtual product development;"Zhang H;Wang H;Chen D;Zacharewicz G;";Advanced Engineering Informatics;2010;WOS;O;O;O;;;;;;;;
A model-driven approach to support engineering changes in industrial robotics software;Yu Sun, Jeff Gray, Karlheinz Bulheller, Nicolaus von Baillou;Proceedings of the 15th international conference on Model Driven Engineering Languages and Systems;2012;ACM;O;O;O;;;;;;;;
A Model-Driven Architecture Approach for Modeling, Specifying and Deploying Policies in Autonomous and Autonomic Systems;"Pena, J.; Hinchey, M.G.; Sterritt, Roy; Ruiz-Cortes, A.; Resinas, M.";Dependable, Autonomic and Secure Computing, 2nd IEEE International Symposium on;2006;IEEE ;X;X;X;X;X;X;O;O;O;O;YES
A Model-Driven CASE tool for developing and verifying regulated open MAS;"Garcia E;Giret A;Botti V;";Science of Computer Programming;2013;WOS;O;O;O;;;;;;;;
A Model-Driven Development Framework for Non-Functional Aspects in Service Oriented Grids;"Wada, H.; Suzuki, J.; Oba, K.";Autonomic and Autonomous Systems, 2006. ICAS '06. 2006 International Conference on;2006;IEEE ;O;O;O;;;;;;;;
A model-driven framework for distributed simulation of autonomous systems;Bocciarelli P., D'Ambrogio A., Giglio A., Paglia E.;J;2015;SCOPUS;X;X;X;X;X;X;O;O;O;O;YES
A Model-Driven Framework for Enabling Self-Service Configuration of Business Services;"Xin Zhang; Pei Sun; Ying Huang; Wei Sun";Web Services, 2008. ICWS '08. IEEE International Conference on;2008;IEEE ;O;O;O;;;;;;;;
A model-driven framework for runtime adaptation of web service compositions;Georg Grossmann, Michael Schrefl, Markus Stumptner;SEAMS '11: Proceedings of the 6th International Symposium on Software Engineering for Adaptive and Self-Managing Systems;2011  ;ACM;O;O;O;;;;;;;;
A model-driven method of estimating the state of clothes for manipulating it;"Kita, Y.; Kita, N.";Applications of Computer Vision, 2002. (WACV 2002). Proceedings. Sixth IEEE Workshop on;2002;IEEE ;O;O;O;;;;;;;;
A Model-Driven Scrum Process for Service-Oriented Software Reengineering: mScrum4SOSR;"Sam Chung; Won, Dae Hee; Baeg, M.H.; Sangdeok Park";Computer Science and its Applications, 2009. CSA '09. 2nd International Conference on;2009;IEEE ;O;O;O;;;;;;;;
A Model-Driven Solution to Support Smart Mobility Planning;Antonio  Bucchiarone and Antonio  Cicchetti;MODELS '18;2018;ACM;No;;;;;;;;;;
A model-driven tool for getting insights into car drivers monitoring behavior;Feuerstack S., Wortelen B.;IEEE Intelligent Vehicles Symposium, Proceedings;2017;SCOPUS;N;;;;;;;;;;
A model-driven tool for getting insights into car drivers‚Äô monitoring behavior;"S. Feuerstack; B. Wortelen";2017 IEEE Intelligent Vehicles Symposium (IV);2017;IEEE;NO;;;;;;;;;;
A model-driven, agent-based approach for the integration of services into a collaborative business process;Zinnikus I., Hahn C., Fischer K.;Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS;2008;Scopus;O;;;;;;;;;;
A morphological model-driven approach to real-time road boundary detection for vision-based automotive systems;"Broggi, A.; Berte, S.";Applications of Computer Vision, 1994., Proceedings of the Second IEEE Workshop on;1994;IEEE ;;;;;;;;;;X;
A multi-configuration kinematic model for active drive/steer four-wheel robot structures;"Martinez-Garcia, Edgar A.; Lerin-Garcia, Erik; Torres-Cordoba, Rafael";J;2016;WOS;o;o;;;;;;;;;
A multi-disciplinary approach of business architecture and its business intelligence applications for IoT big data;Yoshida N., Miyazaki J.;WMSCI 2017 - 21st World Multi-Conference on Systemics, Cybernetics and Informatics, Proceedings;2017;SCOPUS;N;;;;;;;;;;
A multi-domain framework for Wireless Vehicular Sensor Network;Pileggi, S.F.;Ultra Modern Telecommunications & Workshops, 2009. ICUMT '09. International Conference on;2009;IEEE ;O;O;O;;;;;;;;
A multi-UAV Minimum Time Search Planner Based on ACOR;Sara  Perez-Carabaza and Julian  Bermudez-Ortega and Eva  Besada-Portas and Jose A. Lopez-Orozco and Jesus M. de la Cruz;GECCO '17;2017;ACM;NO;;;;;;;;;;
A Network-based Approach to Capture Provenance of a Policy-making Process;Barkha  Javed and Zaheer  Khan and Richard  McClatchey;IDEAS 2017;2017;ACM;NO;;;;;;;;;;
A network-based approach to capture provenance of a policy-making process;Javed B., Khan Z., McClatchey R.;ACM International Conference Proceeding Series;2017;SCOPUS;N;;;;;;;;;;
A new approach in the development of ontology based workflow architectures;"Ternai, K.; Torok, M.";Concurrent Enterprising (ICE), 2011 17th International Conference on;2011;IEEE ;O;O;O;;;;;;;;
A new approach to the semantics of model diagrams;Granstrom J.G.;Leibniz International Proceedings in Informatics, LIPIcs;2013;Scopus;O;;;;;;;;;;
A New Self-Management Model for Large-Scale Event-Driven Wireless Sensor Networks;"Vajdi, Ahmadreza; Zhang, Gongxuan; Wang, Yongli; Wang, Tianshu";J;2016;WOS;;O;;;;;;;;;
A new sensorless speed estimation strategy for induction motor driven electric vehicle with energy optimization scheme;A. Pal S. Das;2016 IEEE 1st International Conference on Power Electronics, Intelligent Control and Energy Systems (ICPEICES);2016;IEEE;o;o;;;;;;;;;
A new skill based robot programming language using UML/P Statecharts;"Thomas, U.; Hirzinger, G.; Rumpe, B.; Schulze, C.; Wortmann, A.";Robotics and Automation (ICRA), 2013 IEEE International Conference on;2013;IEEE ;O;O;O;;;;;;;;
A NFR-based framework for user-centered adaptation;Dalpiaz F., Serral E., Valderas P., Giorgini P., Pelechano V.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2012;Scopus;O;;;;;;;;;;
A novel adaptive feed-forward-PID controller of a SCARA parallel robot using pneumatic artificial muscle actuator based on neural network and modified differential evolution algorithm;Son N.N., Kien C.V., Anh H.P.H.;Robotics and Autonomous Systems;2017;SCOPUS;N;;;;;;;;;;
A Novel Approach to TSK Model Based Gesture Driven Robot Movement;"Saha, Sriparna; Lahiri, Rimita; Konar, Amit; Lekova, Anna; Nagar, Atulya K.";2017 IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS (FUZZ-IEEE);2017;WOS;N;;;;;;;;;;
A novel lane detection approach fusion by vehicle localization;"Chenhao Wang; Zhencheng Hu; Uchimura, K.";Intelligent Control and Automation (WCICA), 2011 9th World Congress on;2011;IEEE ;O;O;O;;;;;;;;
A novel model-driven approach to support development cycle of robotic systems;"Estevez, Elisabet; Sanchez-Garcia, Alejandro; Gamez-Garcia, Javier; Gomez-Ortega, Juan; Satorres-Martinez, Silvia";J;2016;WOS;;;;;;;;;;;
A novel model-driven approach to support development cycle of robotic systems;Estévez E., Sánchez-García A., Gámez-García J., Gómez-Ortega J., Satorres-Martínez S.;J;2016;SCOPUS;-;;;;x;x;;;;;
A patient-specific EMG-driven neuromuscular model for the potential use of human-inspired gait rehabilitation robots;"Ma, Ye; Xie, Shengquan; Zhang, Yanxin";J;2016;WOS;O;O;;;;;;;x;;
A Platform for Choreography of Heterogeneous Healthcare Services;Wonjae  Kim and Young  Yoon;DEBS '18;2018;ACM;NO;;;;;;;;;;
A Platform-Independent Component Modeling Language for Distributed Real-time and Embedded Systems ;"Balasubramanian, Krishnakumar; Balasubramanian, Jaiganesh; Parsons, Jeff; Gokhale, Aniruddha & Schmidt, Douglas C.";Journal of Computer and System Sciences ;2007;ScienceDirect;O;O;O;;;;;;;;
A Polymer Cable Creep Modeling for a Cable-Driven Parallel Robot in a Heavy Payload Application;"Piao, Jinlong; Jin, Xuejun; Choi, Eunpyo; Park, Jong-Oh; Kim, Chang-Sei; Jung, Jinwoo";CABLE-DRIVEN PARALLEL ROBOTS;2018;WOS;N;;;;;;;;;;
A Practical MDA Approach for Autonomic Profiling and Performance Assessment;Marzullo, Fabio Perez and Porto, Rodrigo Novo and Lima, Divany Gomes and Souza, Jano Moreira and Blaschek, Jos{\'e} Roberto;Proceedings of the 4th European Conference on Model Driven Architecture: Foundations and Applications;2008;ACM;O;O;O;;;;;;;;
A process for continuous validation of self-adapting component based systems;Nguyen V.H., Fouquet F., Plouzeau N., Barais O.;Proceedings of the 7th Workshop on Models@run.time, MRT 2012 - Being Part of the ACM/IEEE 15th International Conference on Model Driven Engineering Languages and Systems, MODELS 2012;2012;Scopus;O;;;;;;;;;;
A Process for Engineering DSLs from Mobile Robot Applications;"Conrado, D.B.F.; de Camargo, V.V.";Critical Embedded Systems (CBSEC), 2012 Second Brazilian Conference on;2012;IEEE ;;;;;;;;;;;
A proposal for multi-agent system based modeling and validation of self-organization;"Arronategui, U.; Moldt, D.";Industrial Informatics, 2004. INDIN '04. 2004 2nd IEEE International Conference on;2004;IEEE ;O;O;O;;;;;;;;
A proposed method for modeling research and development (R&D) project prioritization criteria;"de Lima, A.S.; de Sousa Damiani, J.H.";Management of Engineering & Technology, 2009. PICMET 2009. Portland International Conference on;2009;IEEE ;O;O;O;;;;;;;;
A Real-Time-Linux-Based Framework for Model-Driven Engineering in Control and Automation;"Doukas, G.; Thramboulidis, K.";Industrial Electronics, IEEE Transactions on;2011;IEEE ;O;O;O;;;;;;;;
A Reference Autonomous Mobility Model;Phillip J. Durst and Christopher T. Goodin and Derek T. Anderson and Cindy L. Bethel;WSC '17;2017;ACM;No;;;;;;;;;;
A reflective model for architecting feedback control systems;Krikava F., Collet P.;SEKE 2011 - Proceedings of the 23rd International Conference on Software Engineering and Knowledge Engineering;2011;Scopus;O;;;;;;;;;;
